species	family	primate_group_code	primate_group
Perodicticus_edwardsi	Lorisidae	STR	Strepsirrhines
Perodicticus_ibeanus	Lorisidae	STR	Strepsirrhines
Perodicticus_potto	Lorisidae	STR	Strepsirrhines
Phaner_electromontis	Cheirogaleidae	STR	Strepsirrhines
Phaner_furcifer	Cheirogaleidae	STR	Strepsirrhines
Phaner_pallescens	Cheirogaleidae	STR	Strepsirrhines
Phaner_parienti	Cheirogaleidae	STR	Strepsirrhines
Piliocolobus_badius	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_bouvieri	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_epieni	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_foai	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_gordonorum	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_kirkii	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_langi	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_lulindicus	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_oustaleti	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_parmentieri	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_pennantii	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_preussi	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_rufomitratus	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_semlikiensis	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_temminckii	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_tephrosceles	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_tholloni	Cercopithecidae	OWM	Old World monkeys
Piliocolobus_waldronae	Cercopithecidae	OWM	Old World monkeys
Pithecia_aequatorialis	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_albicans	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_cazuzai	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_chrysocephala	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_hirsuta	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_inusta	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_irrorata	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_isabela	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_milleri	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_mittermeieri	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_monachus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_napensis	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_pissinattii	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_pithecia	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_rylandsi	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pithecia_vanzolinii	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_aureipalatii	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_baptista	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_bernhardi	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_brunneus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_caligatus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_caquetensis	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_cinerascens	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_cupreus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_discolor	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_donacophilus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_hoffmansi	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_miltoni	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_modestus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_moloch	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_oenanthe	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_olallae	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_ornatus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
